# R_0, Probability of epidemic
2.79, 9.241e-01
2.80, 9.250e-01
2.81, 9.258e-01
2.82, 9.267e-01
2.83, 9.276e-01
2.84, 9.284e-01
2.85, 9.292e-01
2.86, 9.300e-01
2.87, 9.309e-01
2.88, 9.317e-01
2.89, 9.324e-01
2.90, 9.332e-01
2.91, 9.340e-01
2.92, 9.347e-01
2.93, 9.355e-01
2.94, 9.362e-01
2.95, 9.370e-01
2.96, 9.377e-01
2.97, 9.384e-01
2.98, 9.391e-01
2.99, 9.398e-01
3.00, 9.405e-01
3.01, 9.412e-01
3.02, 9.418e-01
3.03, 9.425e-01
3.04, 9.431e-01
3.05, 9.438e-01
3.06, 9.444e-01
3.07, 9.450e-01
3.08, 9.457e-01
3.09, 9.463e-01
3.10, 9.469e-01
3.11, 9.475e-01
3.12, 9.481e-01
3.13, 9.487e-01
3.14, 9.492e-01
3.15, 9.498e-01
3.16, 9.504e-01
3.17, 9.509e-01
3.18, 9.515e-01
3.19, 9.520e-01
3.20, 9.526e-01
3.21, 9.531e-01
3.22, 9.536e-01
3.23, 9.541e-01
3.24, 9.546e-01
3.25, 9.551e-01
3.26, 9.556e-01
3.27, 9.561e-01
3.28, 9.566e-01
3.29, 9.571e-01
3.30, 9.576e-01
3.31, 9.580e-01
3.32, 9.585e-01
3.33, 9.590e-01
3.34, 9.594e-01
3.35, 9.599e-01
3.36, 9.603e-01
3.37, 9.607e-01
3.38, 9.612e-01
3.39, 9.616e-01
3.40, 9.620e-01
3.41, 9.624e-01
3.42, 9.629e-01
3.43, 9.633e-01
3.44, 9.637e-01
3.45, 9.641e-01
3.46, 9.645e-01
3.47, 9.648e-01
3.48, 9.652e-01
3.49, 9.656e-01
3.50, 9.660e-01
3.51, 9.664e-01
3.52, 9.667e-01
3.53, 9.671e-01
3.54, 9.674e-01
3.55, 9.678e-01
3.56, 9.681e-01
3.57, 9.685e-01
3.58, 9.688e-01
3.59, 9.692e-01
3.60, 9.695e-01
3.61, 9.698e-01
3.62, 9.702e-01
3.63, 9.705e-01
3.64, 9.708e-01
3.65, 9.711e-01
3.66, 9.714e-01
3.67, 9.717e-01
3.68, 9.720e-01
3.69, 9.723e-01
3.70, 9.726e-01
3.71, 9.729e-01
3.72, 9.732e-01
3.73, 9.735e-01
3.74, 9.738e-01
3.75, 9.741e-01
3.76, 9.744e-01
3.77, 9.746e-01
3.78, 9.749e-01
3.79, 9.752e-01
3.80, 9.754e-01
3.81, 9.757e-01
3.82, 9.760e-01
3.83, 9.762e-01
3.84, 9.765e-01
3.85, 9.767e-01
3.86, 9.770e-01
3.87, 9.772e-01
3.88, 9.775e-01
3.89, 9.777e-01
3.90, 9.779e-01
3.91, 9.782e-01
3.92, 9.784e-01
3.93, 9.786e-01
3.94, 9.789e-01
3.95, 9.791e-01
3.96, 9.793e-01
3.97, 9.795e-01
3.98, 9.797e-01
3.99, 9.800e-01
4.00, 9.802e-01
4.01, 9.804e-01
4.02, 9.806e-01
4.03, 9.808e-01
4.04, 9.810e-01
4.05, 9.812e-01
4.06, 9.814e-01
4.07, 9.816e-01
4.08, 9.818e-01
4.09, 9.820e-01
4.10, 9.822e-01
4.11, 9.824e-01
4.12, 9.825e-01
4.13, 9.827e-01
4.14, 9.829e-01
4.15, 9.831e-01
4.16, 9.833e-01
4.17, 9.834e-01
4.18, 9.836e-01
4.19, 9.838e-01
4.20, 9.840e-01
4.21, 9.841e-01
4.22, 9.843e-01
4.23, 9.845e-01
4.24, 9.846e-01
4.25, 9.848e-01
4.26, 9.849e-01
4.27, 9.851e-01
4.28, 9.853e-01
4.29, 9.854e-01
4.30, 9.856e-01
4.31, 9.857e-01
4.32, 9.859e-01
4.33, 9.860e-01
4.34, 9.862e-01
4.35, 9.863e-01
4.36, 9.864e-01
4.37, 9.866e-01
4.38, 9.867e-01
4.39, 9.869e-01
4.40, 9.870e-01
4.41, 9.871e-01
4.42, 9.873e-01
4.43, 9.874e-01
4.44, 9.875e-01
4.45, 9.877e-01
4.46, 9.878e-01
4.47, 9.879e-01
4.48, 9.880e-01
4.49, 9.882e-01
4.50, 9.883e-01
4.51, 9.884e-01
4.52, 9.885e-01
4.53, 9.887e-01
4.54, 9.888e-01
4.55, 9.889e-01
4.56, 9.890e-01
4.57, 9.891e-01
4.58, 9.892e-01
4.59, 9.893e-01
4.60, 9.894e-01
4.61, 9.896e-01
4.62, 9.897e-01
4.63, 9.898e-01
4.64, 9.899e-01
4.65, 9.900e-01
4.66, 9.901e-01
4.67, 9.902e-01
4.68, 9.903e-01
4.69, 9.904e-01
4.70, 9.905e-01
4.71, 9.906e-01
4.72, 9.907e-01
4.73, 9.908e-01
4.74, 9.909e-01
4.75, 9.910e-01
4.76, 9.911e-01
4.77, 9.912e-01
4.78, 9.912e-01
4.79, 9.913e-01
4.80, 9.914e-01
4.81, 9.915e-01
4.82, 9.916e-01
4.83, 9.917e-01
4.84, 9.918e-01
4.85, 9.919e-01
4.86, 9.919e-01
4.87, 9.920e-01
4.88, 9.921e-01
4.89, 9.922e-01
4.90, 9.923e-01
4.91, 9.923e-01
4.92, 9.924e-01
4.93, 9.925e-01
4.94, 9.926e-01
4.95, 9.927e-01
4.96, 9.927e-01
4.97, 9.928e-01
4.98, 9.929e-01
4.99, 9.930e-01
